"Date","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","New York City","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto Rico","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virgin Islands","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
2018-09-30,1627,1959,1735,1105,1481,2081,1501,0,2172,NA,2320,1575,525,792,1255,507,864,977,2477,926,709,1008,1029,1286,1930,582,635,1943,389,610,2705,852,965,1924,897,938,794,1666,778,902,7707,233,1363,944,492,2575,1129,1069,2287,1524,342,800,1279,1700
2018-10-07,1724,2376,1674,1117,1272,2339,1539,87,2253,NA,2395,1415,271,1005,1111,508,845,1279,2555,975,705,1165,1071,1716,1998,564,541,2574,628,196,2606,809,982,1931,1047,1323,645,1866,793,1049,6876,325,1583,788,717,2123,890,1099,1466,1653,508,735,1432,1607
2018-10-14,1833,2270,1792,1640,1428,2585,1323,114,2022,NA,2621,1736,91,1039,847,477,991,1395,2765,925,1094,1273,1087,1396,2191,795,718,1530,560,661,2692,1069,1108,2178,1150,798,639,2075,857,1077,7137,321,1480,884,355,2208,1340,1125,1771,1968,323,908,1444,995
2018-10-21,2242,1005,1615,1490,1583,2297,1617,156,1831,NA,2955,1763,376,1160,1058,617,1198,1580,3177,1240,994,1143,1200,1539,2509,969,580,2063,582,740,2989,1088,1136,2432,1370,798,894,2477,879,1142,6797,456,1948,853,1056,2640,1698,1425,1784,1884,458,1025,1350,898
2018-10-28,2382,2447,2019,2197,1764,2607,1846,152,2257,NA,3320,1760,222,1305,1320,582,1156,1858,3298,849,1662,1119,1154,2247,2702,1441,708,2221,549,732,2975,1289,1269,2162,1455,1159,1020,2667,928,1203,6490,558,2193,972,871,2899,1444,1167,1908,2058,421,1021,1474,859
2018-11-04,2768,2063,2057,1984,1866,2740,2277,530,1944,NA,3398,1402,525,1258,1344,465,1368,1642,3676,981,1493,1214,1366,1758,2845,1337,592,2226,560,795,2925,1310,1096,2283,1515,788,871,2589,995,1323,7549,630,2539,911,983,3162,2058,897,788,2274,496,1044,1350,970
2018-11-11,2963,2562,2117,2484,2075,3091,2450,415,2550,NA,3741,1697,1300,1374,1514,388,1422,1717,4089,1134,789,1191,1451,1846,3265,522,714,2618,652,225,3231,1398,1140,2443,1680,1141,769,3670,1160,1385,8061,311,2262,433,1144,3389,2016,1134,395,2457,488,1099,1547,768
2018-11-18,3057,2628,2712,2730,2078,2819,2622,256,2155,NA,4496,1730,644,1553,1870,696,1531,1883,4700,1152,1383,1630,1678,2206,3275,1188,1302,3076,1128,192,3430,1327,1340,2746,1662,646,1041,4058,1366,1603,9185,452,2936,1149,1644,3670,3044,763,652,2722,745,1409,1542,586
2018-11-25,3069,2314,2712,2106,2352,3488,2591,200,2290,NA,4130,1923,610,1444,1697,598,1468,1753,4494,843,1123,1391,1483,2082,3420,1328,885,2688,1022,182,3307,1400,1318,2511,1794,1302,1150,2750,1226,1429,7285,595,2963,986,1424,3589,2347,936,1114,2598,666,1296,1601,832
2018-12-02,2976,2415,2666,1948,2551,3881,3666,650,3578,NA,4078,2214,697,1542,1821,543,1335,1541,3960,854,953,1507,1375,1899,3222,1631,666,2322,1099,721,3569,1576,1470,2791,1768,776,1104,2925,1289,1523,10582,980,2649,934,1698,3574,2454,1291,398,2605,609,1026,1470,1221
2018-12-09,3669,2761,3279,2961,2901,5001,3380,656,2849,NA,5308,1464,456,1690,2262,634,1923,3081,3955,999,1533,1689,1612,2674,3407,2365,893,3279,1461,253,4114,2322,1957,3144,1958,1248,1170,3140,1562,1893,9948,847,3275,596,2030,4139,2475,2089,969,2949,740,1627,1650,1715
2018-12-16,4113,2953,3262,3224,3158,5984,4174,1246,2888,NA,6599,1609,639,2095,3850,746,1835,3569,4185,1186,2406,2262,2441,2580,4566,2547,963,5352,2717,717,4800,4286,2424,3664,1993,884,1306,4082,1591,2147,12358,1118,4121,647,2176,4953,3359,1853,633,3116,929,1650,1836,1214
